label,filepath
0,/hdd5/zhiqi2/datasets/imagenet/train/n02321529/n02321529_3041.JPEG
0,/hdd5/zhiqi2/datasets/imagenet/train/n02321529/n02321529_3589.JPEG
0,/hdd5/zhiqi2/datasets/imagenet/train/n02321529/n02321529_6010.JPEG
0,/hdd5/zhiqi2/datasets/imagenet/train/n02321529/n02321529_5184.JPEG
0,/hdd5/zhiqi2/datasets/imagenet/train/n02321529/n02321529_1593.JPEG
0,/hdd5/zhiqi2/datasets/imagenet/train/n02321529/n02321529_5567.JPEG
0,/hdd5/zhiqi2/datasets/imagenet/train/n02321529/n02321529_9116.JPEG
0,/hdd5/zhiqi2/datasets/imagenet/train/n02321529/n02321529_3939.JPEG
0,/hdd5/zhiqi2/datasets/imagenet/train/n02321529/n02321529_2740.JPEG
0,/hdd5/zhiqi2/datasets/imagenet/train/n02321529/n02321529_5776.JPEG
0,/hdd5/zhiqi2/datasets/imagenet/train/n02321529/n02321529_4205.JPEG
0,/hdd5/zhiqi2/datasets/imagenet/train/n02321529/n02321529_855.JPEG
0,/hdd5/zhiqi2/datasets/imagenet/train/n02321529/n02321529_990.JPEG
0,/hdd5/zhiqi2/datasets/imagenet/train/n02321529/n02321529_1660.JPEG
0,/hdd5/zhiqi2/datasets/imagenet/train/n02321529/n02321529_9955.JPEG
0,/hdd5/zhiqi2/datasets/imagenet/train/n02321529/n02321529_1225.JPEG
0,/hdd5/zhiqi2/datasets/imagenet/train/n02321529/n02321529_2356.JPEG
0,/hdd5/zhiqi2/datasets/imagenet/train/n02321529/n02321529_1033.JPEG
0,/hdd5/zhiqi2/datasets/imagenet/train/n02321529/n02321529_4403.JPEG
0,/hdd5/zhiqi2/datasets/imagenet/train/n02321529/n02321529_1257.JPEG
0,/hdd5/zhiqi2/datasets/imagenet/train/n02321529/n02321529_6808.JPEG
0,/hdd5/zhiqi2/datasets/imagenet/train/n02321529/n02321529_3505.JPEG
0,/hdd5/zhiqi2/datasets/imagenet/train/n02321529/n02321529_5508.JPEG
0,/hdd5/zhiqi2/datasets/imagenet/train/n02321529/n02321529_9334.JPEG
0,/hdd5/zhiqi2/datasets/imagenet/train/n02321529/n02321529_963.JPEG
0,/hdd5/zhiqi2/datasets/imagenet/train/n02321529/n02321529_7766.JPEG
0,/hdd5/zhiqi2/datasets/imagenet/train/n02321529/n02321529_4461.JPEG
0,/hdd5/zhiqi2/datasets/imagenet/train/n02321529/n02321529_9339.JPEG
0,/hdd5/zhiqi2/datasets/imagenet/train/n02321529/n02321529_10167.JPEG
0,/hdd5/zhiqi2/datasets/imagenet/train/n02321529/n02321529_2784.JPEG
1,/hdd5/zhiqi2/datasets/imagenet/train/n03840681/n03840681_14247.JPEG
1,/hdd5/zhiqi2/datasets/imagenet/train/n03840681/n03840681_38068.JPEG
1,/hdd5/zhiqi2/datasets/imagenet/train/n03840681/n03840681_17967.JPEG
1,/hdd5/zhiqi2/datasets/imagenet/train/n03840681/n03840681_28381.JPEG
1,/hdd5/zhiqi2/datasets/imagenet/train/n03840681/n03840681_19923.JPEG
1,/hdd5/zhiqi2/datasets/imagenet/train/n03840681/n03840681_9982.JPEG
1,/hdd5/zhiqi2/datasets/imagenet/train/n03840681/n03840681_12389.JPEG
1,/hdd5/zhiqi2/datasets/imagenet/train/n03840681/n03840681_2550.JPEG
1,/hdd5/zhiqi2/datasets/imagenet/train/n03840681/n03840681_12545.JPEG
1,/hdd5/zhiqi2/datasets/imagenet/train/n03840681/n03840681_2472.JPEG
1,/hdd5/zhiqi2/datasets/imagenet/train/n03840681/n03840681_1743.JPEG
1,/hdd5/zhiqi2/datasets/imagenet/train/n03840681/n03840681_11537.JPEG
1,/hdd5/zhiqi2/datasets/imagenet/train/n03840681/n03840681_25676.JPEG
1,/hdd5/zhiqi2/datasets/imagenet/train/n03840681/n03840681_1408.JPEG
1,/hdd5/zhiqi2/datasets/imagenet/train/n03840681/n03840681_87.JPEG
1,/hdd5/zhiqi2/datasets/imagenet/train/n03840681/n03840681_11861.JPEG
1,/hdd5/zhiqi2/datasets/imagenet/train/n03840681/n03840681_8210.JPEG
1,/hdd5/zhiqi2/datasets/imagenet/train/n03840681/n03840681_7771.JPEG
1,/hdd5/zhiqi2/datasets/imagenet/train/n03840681/n03840681_2542.JPEG
1,/hdd5/zhiqi2/datasets/imagenet/train/n03840681/n03840681_2244.JPEG
1,/hdd5/zhiqi2/datasets/imagenet/train/n03840681/n03840681_20589.JPEG
1,/hdd5/zhiqi2/datasets/imagenet/train/n03840681/n03840681_2067.JPEG
1,/hdd5/zhiqi2/datasets/imagenet/train/n03840681/n03840681_8959.JPEG
1,/hdd5/zhiqi2/datasets/imagenet/train/n03840681/n03840681_4825.JPEG
1,/hdd5/zhiqi2/datasets/imagenet/train/n03840681/n03840681_9840.JPEG
1,/hdd5/zhiqi2/datasets/imagenet/train/n03840681/n03840681_20384.JPEG
1,/hdd5/zhiqi2/datasets/imagenet/train/n03840681/n03840681_9575.JPEG
1,/hdd5/zhiqi2/datasets/imagenet/train/n03840681/n03840681_10401.JPEG
1,/hdd5/zhiqi2/datasets/imagenet/train/n03840681/n03840681_10774.JPEG
1,/hdd5/zhiqi2/datasets/imagenet/train/n03840681/n03840681_2863.JPEG
2,/hdd5/zhiqi2/datasets/imagenet/train/n01682714/n01682714_21397.JPEG
2,/hdd5/zhiqi2/datasets/imagenet/train/n01682714/n01682714_8761.JPEG
2,/hdd5/zhiqi2/datasets/imagenet/train/n01682714/n01682714_14543.JPEG
2,/hdd5/zhiqi2/datasets/imagenet/train/n01682714/n01682714_3217.JPEG
2,/hdd5/zhiqi2/datasets/imagenet/train/n01682714/n01682714_6499.JPEG
2,/hdd5/zhiqi2/datasets/imagenet/train/n01682714/n01682714_3213.JPEG
2,/hdd5/zhiqi2/datasets/imagenet/train/n01682714/n01682714_14625.JPEG
2,/hdd5/zhiqi2/datasets/imagenet/train/n01682714/n01682714_1815.JPEG
2,/hdd5/zhiqi2/datasets/imagenet/train/n01682714/n01682714_16937.JPEG
2,/hdd5/zhiqi2/datasets/imagenet/train/n01682714/n01682714_11946.JPEG
2,/hdd5/zhiqi2/datasets/imagenet/train/n01682714/n01682714_17066.JPEG
2,/hdd5/zhiqi2/datasets/imagenet/train/n01682714/n01682714_15252.JPEG
2,/hdd5/zhiqi2/datasets/imagenet/train/n01682714/n01682714_16710.JPEG
2,/hdd5/zhiqi2/datasets/imagenet/train/n01682714/n01682714_1284.JPEG
2,/hdd5/zhiqi2/datasets/imagenet/train/n01682714/n01682714_6702.JPEG
2,/hdd5/zhiqi2/datasets/imagenet/train/n01682714/n01682714_6701.JPEG
2,/hdd5/zhiqi2/datasets/imagenet/train/n01682714/n01682714_21515.JPEG
2,/hdd5/zhiqi2/datasets/imagenet/train/n01682714/n01682714_6639.JPEG
2,/hdd5/zhiqi2/datasets/imagenet/train/n01682714/n01682714_18526.JPEG
2,/hdd5/zhiqi2/datasets/imagenet/train/n01682714/n01682714_6476.JPEG
2,/hdd5/zhiqi2/datasets/imagenet/train/n01682714/n01682714_24852.JPEG
2,/hdd5/zhiqi2/datasets/imagenet/train/n01682714/n01682714_21751.JPEG
2,/hdd5/zhiqi2/datasets/imagenet/train/n01682714/n01682714_8786.JPEG
2,/hdd5/zhiqi2/datasets/imagenet/train/n01682714/n01682714_12654.JPEG
2,/hdd5/zhiqi2/datasets/imagenet/train/n01682714/n01682714_25645.JPEG
2,/hdd5/zhiqi2/datasets/imagenet/train/n01682714/n01682714_2185.JPEG
2,/hdd5/zhiqi2/datasets/imagenet/train/n01682714/n01682714_13130.JPEG
2,/hdd5/zhiqi2/datasets/imagenet/train/n01682714/n01682714_2318.JPEG
2,/hdd5/zhiqi2/datasets/imagenet/train/n01682714/n01682714_8664.JPEG
2,/hdd5/zhiqi2/datasets/imagenet/train/n01682714/n01682714_5862.JPEG
3,/hdd5/zhiqi2/datasets/imagenet/train/n03666591/n03666591_6827.JPEG
3,/hdd5/zhiqi2/datasets/imagenet/train/n03666591/n03666591_17489.JPEG
3,/hdd5/zhiqi2/datasets/imagenet/train/n03666591/n03666591_12948.JPEG
3,/hdd5/zhiqi2/datasets/imagenet/train/n03666591/n03666591_5172.JPEG
3,/hdd5/zhiqi2/datasets/imagenet/train/n03666591/n03666591_28263.JPEG
3,/hdd5/zhiqi2/datasets/imagenet/train/n03666591/n03666591_2785.JPEG
3,/hdd5/zhiqi2/datasets/imagenet/train/n03666591/n03666591_14908.JPEG
3,/hdd5/zhiqi2/datasets/imagenet/train/n03666591/n03666591_56514.JPEG
3,/hdd5/zhiqi2/datasets/imagenet/train/n03666591/n03666591_24316.JPEG
3,/hdd5/zhiqi2/datasets/imagenet/train/n03666591/n03666591_19133.JPEG
3,/hdd5/zhiqi2/datasets/imagenet/train/n03666591/n03666591_23904.JPEG
3,/hdd5/zhiqi2/datasets/imagenet/train/n03666591/n03666591_2794.JPEG
3,/hdd5/zhiqi2/datasets/imagenet/train/n03666591/n03666591_14137.JPEG
3,/hdd5/zhiqi2/datasets/imagenet/train/n03666591/n03666591_15857.JPEG
3,/hdd5/zhiqi2/datasets/imagenet/train/n03666591/n03666591_32428.JPEG
3,/hdd5/zhiqi2/datasets/imagenet/train/n03666591/n03666591_44213.JPEG
3,/hdd5/zhiqi2/datasets/imagenet/train/n03666591/n03666591_48203.JPEG
3,/hdd5/zhiqi2/datasets/imagenet/train/n03666591/n03666591_18287.JPEG
3,/hdd5/zhiqi2/datasets/imagenet/train/n03666591/n03666591_5964.JPEG
3,/hdd5/zhiqi2/datasets/imagenet/train/n03666591/n03666591_68345.JPEG
3,/hdd5/zhiqi2/datasets/imagenet/train/n03666591/n03666591_32989.JPEG
3,/hdd5/zhiqi2/datasets/imagenet/train/n03666591/n03666591_72398.JPEG
3,/hdd5/zhiqi2/datasets/imagenet/train/n03666591/n03666591_32584.JPEG
3,/hdd5/zhiqi2/datasets/imagenet/train/n03666591/n03666591_29749.JPEG
3,/hdd5/zhiqi2/datasets/imagenet/train/n03666591/n03666591_9919.JPEG
3,/hdd5/zhiqi2/datasets/imagenet/train/n03666591/n03666591_6066.JPEG
3,/hdd5/zhiqi2/datasets/imagenet/train/n03666591/n03666591_18413.JPEG
3,/hdd5/zhiqi2/datasets/imagenet/train/n03666591/n03666591_34193.JPEG
3,/hdd5/zhiqi2/datasets/imagenet/train/n03666591/n03666591_12789.JPEG
3,/hdd5/zhiqi2/datasets/imagenet/train/n03666591/n03666591_42661.JPEG
4,/hdd5/zhiqi2/datasets/imagenet/train/n02109525/n02109525_2810.JPEG
4,/hdd5/zhiqi2/datasets/imagenet/train/n02109525/n02109525_62288.JPEG
4,/hdd5/zhiqi2/datasets/imagenet/train/n02109525/n02109525_22693.JPEG
4,/hdd5/zhiqi2/datasets/imagenet/train/n02109525/n02109525_56966.JPEG
4,/hdd5/zhiqi2/datasets/imagenet/train/n02109525/n02109525_12602.JPEG
4,/hdd5/zhiqi2/datasets/imagenet/train/n02109525/n02109525_4854.JPEG
4,/hdd5/zhiqi2/datasets/imagenet/train/n02109525/n02109525_73735.JPEG
4,/hdd5/zhiqi2/datasets/imagenet/train/n02109525/n02109525_26175.JPEG
4,/hdd5/zhiqi2/datasets/imagenet/train/n02109525/n02109525_64859.JPEG
4,/hdd5/zhiqi2/datasets/imagenet/train/n02109525/n02109525_58277.JPEG
4,/hdd5/zhiqi2/datasets/imagenet/train/n02109525/n02109525_63960.JPEG
