ImageID,LabelName,wordnet_label
0006fc0efd251fad,/m/0d5gx,n02980441
00093dbf025cabed,/m/03tw93,n03346455
000aadc350c9ae93,/m/0gm28,n07597365
000df5fc65da5fb3,/m/0220r2,n03387926
000ff7e15987cdb8,/m/01y9k5,n03179701
001209efd84fd36c,/m/07j7r,n13104059
00126e8b0ef15532,/m/032b3c,n03589791
0015438e035de034,/m/02jnhm,n04439039
00161f75b09ea690,/m/020kz,n02950256
0016b8b9812e480d,/m/04hgtk,n05539138
0018b3e86f60e214,/m/03fp41,n13083023
001a3e706476239e,/m/01bl7v,n09870926
001a6a1e673121a2,/m/01n4qj,n04197391
001bcdd5c5cc8e3a,/m/01xyhv,n04350905
001c1517d05795d7,/m/01j61q,n04411264
001df04a190ddaa8,/m/02zt3,n03621473
001fdc890e951ace,/m/017ftj,n04356056
0020e5363c43fe4d,/m/0b_rs,n04371225
00214a12ff8112fb,/m/0crjs,n03099274
00216b7ac1ed1ba1,/m/01bfm9,n04205318
0023036021bfa0ff,/m/01d40f,n03236735
00232db06c3a2107,/m/031n1,n05563266
0024a3e9cedc4ac2,/m/01bfm9,n04205318
00257fae8b1f8331,/m/021sj1,n03842012
00272c8990ce05be,/m/032b3c,n03589791
0027f6ee177b39b6,/m/01n4qj,n04197391
00289250f045bb3f,/m/01xyhv,n04350905
0029974798c0a708,/m/0hnnb,n04507155
002b4a5bbba47f2a,/m/057p5t,n04149813
002b830243d852a0,/m/0hg7b,n03759954
002baf407afe7922,/m/01d40f,n03236735
002df9445352429f,/m/0174n1,n02800213
003012c21e266a6b,/m/0hg7b,n03759954
003065535e1f82f3,/m/01xyhv,n04350905
0030efc08989eee8,/m/01jfsr,n03640988
0031abbb357b6fa1,/m/05bm6,n03804744
0031e7f17e9b1499,/m/01d40f,n03236735
0032a0b4b02293b6,/m/0hg7b,n03759954
0032a311f4ae8e1c,/m/021sj1,n03842012
00335157c369aa89,/m/01bl7v,n09870926
0033684bba8d050b,/m/032b3c,n03589791
00337bfe89beda51,/m/0cvnqh,n02828884
003475194b4ecb9b,/m/01c648,n03642806
0034f7f4d1a6f9e2,/m/021sj1,n03842012
00356a9c680f3210,/m/06c7f7,n03676483
0035ae85eacd3f7c,/m/03rszm,n03151077
00367af0bb3878f6,/m/01n5jq,n06793426
00370d984c2fb779,/m/01y9k5,n03179701
00374d0c6e6a8298,/m/03rszm,n03151077
0037aba41ecc724d,/m/021sj1,n03842012
0037df42c63107f0,/m/01xyhv,n04350905
0037e374875b3571,/m/01jfsr,n03640988
0037f0dbcc6a3a17,/m/01y9k5,n03179701
003879553b094290,/m/01n4qj,n04197391
003974ec09cb53a9,/m/01bfm9,n04205318
0039fc4c35f3205e,/m/032b3c,n03589791
003a39019eac40e1,/m/02_n6y,n03443912
003bfa647c199309,/m/05gqfk,n03958227
003c2385674f633e,/m/01bfm9,n04205318
003d0d1f4e80ce11,/m/01xyhv,n04350905
003d36bec4be03c9,/m/01d40f,n03236735
003e5a738d685f2a,/m/0hg7b,n03759954
00407c7ebec34144,/m/0hnnb,n04507155
0040ba69ade67b28,/m/05r655,n10129825
0041397aa6ad08e6,/m/01xyhv,n04350905
0042dabdc7915e50,/m/01bl7v,n09870926
0042f8a51964871a,/m/0gjkl,n04555897
00433f38764ee9aa,/m/01n4qj,n04197391
0043fb19bec50ad6,/m/01xyhv,n04350905
0044b9be61731a65,/m/032b3c,n03589791
0044da18d5a8e3bb,/m/031b6r,n04589190
0044daa150229eea,/m/021sj1,n03842012
004568e9a988e139,/m/04hgtk,n05539138
004613f3bb90b7c1,/m/01j51,n02782329
00466f2d1b617884,/m/04hgtk,n05539138
004676114a592ae3,/m/0k4j,n02958343
0046c69cb87e655c,/m/021sj1,n03842012
0046d93f7d42bb16,/m/0138tl,n04462102
00471ee123087f84,/m/05r655,n10129825
004872ce5b7a39ea,/m/0c06p,n02948072
00495c08e6ef8da9,/m/01xyhv,n04350905
004a01c1d5f644e1,/m/079cl,n04233124
004a50da6f30492e,/m/01n5jq,n06793426
004a8cf0beba0132,/m/012w5l,n03632277
004d529555ea7ce2,/m/025dyy,n02883344
004dd6d3a863262e,/m/05zsy,n12158443
004e18936ce6b7aa,/m/033cnk,n07840804
004e831e8776c027,/m/01d40f,n03236735
004f9a5c6afbceed,/m/01xyhv,n04350905
005186431682c2bb,/m/021sj1,n03842012
00519416825071f8,/m/01xyhv,n04350905
0052f07d6175af36,/m/01jfsr,n03640988
0053e4fc02b27650,/m/0174n1,n02800213
00540cbbc822f139,/m/03rszm,n03151077
005412410ef86386,/m/01bl7v,n09870926
0054c4adb4c51215,/m/02rgn06,n00480211
005532811377ef7e,/m/04hgtk,n05539138
0055a9ff957998e2,/m/02522,n03085219
00560e800a9ec966,/m/01d40f,n03236735
0056aef7e2591355,/m/029tx,n01699831
0056bee46d2090cf,/m/02wbtzl,n04356595
0056ffa92a35158d,/m/03fp41,n13083023
0057229fe006857c,/m/05r655,n10129825
005778cae16e4656,/m/032b3c,n03589791
0058408c57b6fdfb,/m/032b3c,n03589791
0058928240fe1561,/m/01xyhv,n04350905
0058a80a8d4c76f5,/m/01gmv2,n02892767
0058da803fa54e56,/m/03fp41,n13083023
00591a9891b2e5fa,/m/01d40f,n03236735
005ac846f38ecca4,/m/01xyhv,n04350905
